Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,collector_type_source,On Assault Weapons: Should owning guns that fire quickly be:,On Magazines Holding Over Ten Bullets: Who should have them?,On Background Checks for Assault Weapons: Should there be checks to ensure owners are allowed to have them?,On Keeping Assault Weapons Away from Children: Should it be illegal to leave these guns where kids can find them?,"Do You Own a Gun? (Excluding paintball, BB, or pellet guns)","Does Someone in Your Home Own a Gun? (Excluding paintball, BB, or pellet guns)",Your Zip Code: (To understand regional views),Your Education Level: (Just the highest completed),Do you think of yourself as,Do you see yourself as,Gender,Age,Major US Region,Device,Household Income,is_gun_owner,has_gun_in_house,political_lean,leans_left,leans_right,leans_center,for_assault_weapon_ban,for_large_magazine_ban,for_background_checks,for_safe_storage_laws
114569316181.0,430645356.0,04/03/2024 06:27:20 PM,04/03/2024 06:30:07 PM,,,,,e5c47c553b3f8a610835c51e06,smc,Open to everyone?,Anyone?,"Yes, for all owners",No,No,Yes,29687,Some college,Not really either (Independent)?,In the middle and cautious about change (moderate)?,male,18_to_29,south_atlantic,android_mobile,0_to_9999,False,True,center,False,False,True,False,False,True,False
114569316134.0,430645356.0,04/03/2024 06:28:31 PM,04/03/2024 06:29:58 PM,,,,,cd8cc80fecdd0a84bc38c5bc88,smc,Open to everyone?,Anyone?,"Yes, for all owners",No,Yes,Yes,98844,College degree,A Republican?,,male,45_to_60,pacific,android_mobile,25000_to_49999,True,True,right,False,True,False,False,False,True,False
114569316082.0,430645356.0,04/03/2024 06:28:38 PM,04/03/2024 06:29:52 PM,,,,,81fcde1f61dd4a40e4fe791f14,smc,Limited to military?,Just military?,"Yes, for all owners",Yes,Yes,Yes,30309,College degree,A Republican?,,male,45_to_60,south_atlantic,ios_mobile,50000_to_74999,True,True,right,False,True,False,True,True,True,True
114569315935.0,430645356.0,04/03/2024 06:28:26 PM,04/03/2024 06:29:37 PM,,,,,031de79d707d7bd5e7d5d7649c,smc,Limited to military?,Just military?,"Yes, for all owners",Yes,No,No,91977,Advanced degree,A Democrat?,,male,45_to_60,pacific,android_mobile,75000_to_99999,False,False,left,True,False,False,True,True,True,True
114569315500.0,430645356.0,04/03/2024 06:27:02 PM,04/03/2024 06:28:46 PM,,,,,bf538a1f0085f83f583a70b807,smc,Limited to military and police?,Just military and police?,"Yes, for all owners",Yes,Yes,Yes,44060,College degree,Not really either (Independent)?,In the middle and cautious about change (moderate)?,male,30_to_44,east_north_central,ios_mobile,50000_to_74999,True,True,center,False,False,True,True,True,True,True
114569315422.0,430645356.0,04/03/2024 06:27:29 PM,04/03/2024 06:28:39 PM,,,,,e588e369135470e21b5a490b7a,smc,Limited to military?,Just military?,"Yes, for all owners",No,No,No,92545,Advanced degree,A Democrat?,,male,60_above,pacific,android_mobile,25000_to_49999,False,False,left,True,False,False,True,True,True,False
114569315324.0,430645356.0,04/03/2024 06:27:08 PM,04/03/2024 06:28:28 PM,,,,,662e533405c581987a104c6f1f,smc,Limited to military and police?,Just military and police?,Not sure or no comment,Yes,No,No,7644,High school diploma,Not really either (Independent)?,In the middle and cautious about change (moderate)?,male,60_above,middle_atlantic,ios_mobile,100000_to_124999,False,False,center,False,False,True,True,True,False,True
114569315320.0,430645356.0,04/03/2024 06:26:46 PM,04/03/2024 06:28:27 PM,,,,,2dafa8afe1cd76437bc653437b,smc,Limited to military?,Just military?,"Yes, for all owners",Yes,No,Yes,10950,College degree,A Democrat?,,male,60_above,middle_atlantic,android_mobile,200000_and_up,False,True,left,True,False,False,True,True,True,True
114569315159.0,430645356.0,04/03/2024 06:26:22 PM,04/03/2024 06:28:08 PM,,,,,c501fb38cb9427045bf81d8c4c,smc,Limited to military and police?,Just military and police?,"Yes, for all owners",Yes,Yes,Yes,10082,College degree,A Republican?,,male,30_to_44,,android_mobile,150000_to_174999,True,True,right,False,True,False,True,True,True,True
114569315145.0,430645356.0,04/03/2024 06:27:20 PM,04/03/2024 06:28:07 PM,,,,,b94d5d65d23b6d4550b62cfa22,smc,Limited to military?,Just military?,"Yes, for all owners",Yes,Yes,Yes,77015,Advanced degree,A Democrat?,,male,30_to_44,west_south_central,ios_mobile,0_to_9999,True,True,left,True,False,False,True,True,True,True
