district,partisan_lean (%),state_name,Republican/lean Rep.,No lean,Democrat/lean Dem.,lean sample size,firearm ownership,firearm ownership margin of error,has_gun_in_house_True,has_gun_in_house_False,is_gun_owner_True,is_gun_owner_False,political_lean_center,political_lean_right,political_lean_left,lean_sum,right_only_flag,body,model,errors_short,gun_owner_fraction_right_only,for_assault_weapon_ban_True_full_sample_mean,for_assault_weapon_ban_True_full_sample_stderr,for_large_magazine_ban_True_full_sample_mean,for_large_magazine_ban_True_full_sample_stderr,for_background_checks_True_full_sample_mean,for_background_checks_True_full_sample_stderr,for_safe_storage_laws_True_full_sample_mean,for_safe_storage_laws_True_full_sample_stderr
AK-1,-14.6111,Alaska,0.39,0.29,0.32,310.0,0.572,0.032,0.572,0.428,0.572,0.428,0.29,0.4280555,0.2819445,0.0,0.0,house,baseline,None,0.5721786089304465,0.632431621581079,0.042261696674642094,0.5762038101905096,0.04331493389875375,0.8567678383919196,0.030705976980827235,0.8117155857792889,0.034267324517261825
AL-1,-31.6703,Alabama,0.52,0.13,0.35,511.0,0.528,0.028,0.528,0.472,0.528,0.472,0.13,0.5933515,0.2766484999999999,0.0,0.0,house,baseline,None,0.5312265613280664,0.6405570278513926,0.04205958350088485,0.6051802590129507,0.042846255699620285,0.8351417570878544,0.03252419094162194,0.8074653732686634,0.03456109124305277
AL-2,-33.47084,Alabama,0.52,0.13,0.35,511.0,0.528,0.028,0.528,0.472,0.528,0.472,0.13,0.6023542,0.2676458,0.0,0.0,house,baseline,None,0.5396769838491925,0.628956447822391,0.04234418715963321,0.5860043002150108,0.0431737115601504,0.8471673583679183,0.031540148661996024,0.7968648432421621,0.035265979386243956
AL-3,-39.00137,Alabama,0.52,0.13,0.35,511.0,0.528,0.028,0.528,0.472,0.528,0.472,0.13,0.63000685,0.23999315,0.0,0.0,house,baseline,None,0.5373268663433172,0.627756387819391,0.042372127110036496,0.5849042452122606,0.043190437357062905,0.8410170508525425,0.032051528404758764,0.8010900545027251,0.034989681430729946
AL-4,-64.80537,Alabama,0.52,0.13,0.35,511.0,0.528,0.028,0.528,0.472,0.528,0.472,0.13,0.7590268499999999,0.11097315,0.0,0.0,house,baseline,None,0.5649782489124456,0.5871293564678234,0.043156376087149804,0.5392519625981299,0.04369167388034293,0.823691184559228,0.03340337060404695,0.7905645282264113,0.035666857853315324
AL-5,-32.03314,Alabama,0.52,0.13,0.35,511.0,0.528,0.028,0.528,0.472,0.528,0.472,0.13,0.5951657,0.2748343,0.0,0.0,house,baseline,None,0.5343267163358167,0.6172308615430772,0.04260527205572887,0.5889544477223861,0.043127759675056734,0.8519425971298564,0.031130872979189272,0.8028901445072254,0.03487010880053236
AL-6,-35.87194,Alabama,0.52,0.13,0.35,511.0,0.528,0.028,0.528,0.472,0.528,0.472,0.13,0.6143597000000001,0.2556403,0.0,0.0,house,baseline,None,0.5312765638281914,0.6222061103055152,0.04249772381730372,0.5930046502325116,0.0430620640181343,0.8387169358467923,0.03223837616390575,0.808790439521976,0.03447020571649851
AL-7,28.7539,Alabama,0.52,0.13,0.35,511.0,0.528,0.028,0.528,0.472,0.528,0.472,0.13,0.2912305,0.5787694999999999,0.0,0.0,house,baseline,None,0.480074003700185,0.7129606480324016,0.039652864814435855,0.6875843792189609,0.040625661002512664,0.8701435071753587,0.029464450477920203,0.8454672733636681,0.03168324850244994
AR-1,-43.32125,Arkansas,0.46,0.16,0.38,311.0,0.518,0.028,0.518,0.482,0.518,0.482,0.16,0.63660625,0.2033937499999999,0.0,0.0,house,baseline,None,0.5341767088354418,0.6122556127806391,0.04270809663510967,0.5759037951897594,0.043318981037536855,0.8383169158457923,0.0322706324128014,0.8016150807540376,0.034954921905390166
AR-2,-16.87272,Arkansas,0.46,0.16,0.38,311.0,0.518,0.028,0.518,0.482,0.518,0.482,0.16,0.5043636,0.3356363999999999,0.0,0.0,house,baseline,None,0.5006250312515625,0.6469073453672685,0.04189251674414487,0.6239061953097655,0.04245988445346591,0.8507925396269813,0.031230445173135453,0.8063153157657883,0.03463946403801815
