district,partisan_lean (%),state_name,Republican/lean Rep.,No lean,Democrat/lean Dem.,lean sample size,firearm ownership,firearm ownership margin of error,has_gun_in_house_True,has_gun_in_house_False,is_gun_owner_True,is_gun_owner_False,political_lean_center,political_lean_right,political_lean_left,lean_sum,right_only_flag,body,model
AK-1,-14.6111,Alaska,0.39,0.29,0.32,310.0,0.572,0.032,0.572,0.42800000000000005,0.572,0.42800000000000005,0.29,0.4280555,0.2819445,0.0,1.0,house,right_only
AL-1,-31.6703,Alabama,0.52,0.13,0.35,511.0,0.528,0.028,0.528,0.472,0.528,0.472,0.13,0.5933515,0.27664849999999996,0.0,1.0,house,right_only
AL-2,-33.47084,Alabama,0.52,0.13,0.35,511.0,0.528,0.028,0.528,0.472,0.528,0.472,0.13,0.6023542,0.2676458,0.0,1.0,house,right_only
AL-3,-39.00137,Alabama,0.52,0.13,0.35,511.0,0.528,0.028,0.528,0.472,0.528,0.472,0.13,0.63000685,0.23999315,0.0,1.0,house,right_only
AL-4,-64.80537,Alabama,0.52,0.13,0.35,511.0,0.528,0.028,0.528,0.472,0.528,0.472,0.13,0.7590268499999999,0.11097315000000002,0.0,1.0,house,right_only
AL-5,-32.03314,Alabama,0.52,0.13,0.35,511.0,0.528,0.028,0.528,0.472,0.528,0.472,0.13,0.5951657,0.2748343,0.0,1.0,house,right_only
AL-6,-35.87194,Alabama,0.52,0.13,0.35,511.0,0.528,0.028,0.528,0.472,0.528,0.472,0.13,0.6143597000000001,0.2556403,0.0,1.0,house,right_only
AL-7,28.7539,Alabama,0.52,0.13,0.35,511.0,0.528,0.028,0.528,0.472,0.528,0.472,0.13,0.2912305,0.5787694999999999,0.0,1.0,house,right_only
AR-1,-43.32125,Arkansas,0.46,0.16,0.38,311.0,0.518,0.028,0.518,0.482,0.518,0.482,0.16,0.63660625,0.20339374999999998,0.0,1.0,house,right_only
AR-2,-16.87272,Arkansas,0.46,0.16,0.38,311.0,0.518,0.028,0.518,0.482,0.518,0.482,0.16,0.5043636,0.33563639999999995,0.0,1.0,house,right_only
AR-3,-28.57066,Arkansas,0.46,0.16,0.38,311.0,0.518,0.028,0.518,0.482,0.518,0.482,0.16,0.5628533,0.27714669999999997,0.0,1.0,house,right_only
AR-4,-38.83622,Arkansas,0.46,0.16,0.38,311.0,0.518,0.028,0.518,0.482,0.518,0.482,0.16,0.6141810999999999,0.2258189,0.0,1.0,house,right_only
AZ-1,-6.512875,Arizona,0.4,0.21,0.39,653.0,0.36,0.028,0.36,0.64,0.36,0.64,0.21,0.427564375,0.36243562500000004,0.0,1.0,house,right_only
AZ-2,-15.10014,Arizona,0.4,0.21,0.39,653.0,0.36,0.028,0.36,0.64,0.36,0.64,0.21,0.4705007,0.31949930000000004,0.0,1.0,house,right_only
AZ-3,44.18386,Arizona,0.4,0.21,0.39,653.0,0.36,0.028,0.36,0.64,0.36,0.64,0.21,0.1740807,0.6159193000000001,0.0,1.0,house,right_only
AZ-4,1.464125,Arizona,0.4,0.21,0.39,653.0,0.36,0.028,0.36,0.64,0.36,0.64,0.21,0.387679375,0.40232062500000004,0.0,1.0,house,right_only
AZ-5,-23.90548,Arizona,0.4,0.21,0.39,653.0,0.36,0.028,0.36,0.64,0.36,0.64,0.21,0.5145274,0.2754726,0.0,1.0,house,right_only
AZ-6,-6.932475,Arizona,0.4,0.21,0.39,653.0,0.36,0.028,0.36,0.64,0.36,0.64,0.21,0.42966237500000004,0.360337625,0.0,1.0,house,right_only
AZ-7,27.01756,Arizona,0.4,0.21,0.39,653.0,0.36,0.028,0.36,0.64,0.36,0.64,0.21,0.25991220000000004,0.5300878,0.0,1.0,house,right_only
AZ-8,-21.53168,Arizona,0.4,0.21,0.39,653.0,0.36,0.028,0.36,0.64,0.36,0.64,0.21,0.5026584000000001,0.28734160000000003,0.0,1.0,house,right_only
AZ-9,-33.10751,Arizona,0.4,0.21,0.39,653.0,0.36,0.028,0.36,0.64,0.36,0.64,0.21,0.56053755,0.22946245000000004,0.0,1.0,house,right_only
CA-1,-24.24,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.5162,0.27380000000000004,0.0,1.0,house,right_only
CA-2,44.6589,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.1717055,0.6182945,0.0,1.0,house,right_only
CA-3,-7.48173,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.43240865,0.35759135000000003,0.0,1.0,house,right_only
CA-4,31.46477,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.23767615,0.5523238500000001,0.0,1.0,house,right_only
CA-5,-16.82833,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.47914165000000003,0.31085835,0.0,1.0,house,right_only
CA-6,14.1761,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.3241195,0.46588050000000003,0.0,1.0,house,right_only
CA-7,33.91067,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.22544665,0.5645533500000001,0.0,1.0,house,right_only
CA-8,50.61904,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.14190480000000005,0.6480952,0.0,1.0,house,right_only
CA-9,8.710836,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.35144582,0.43855418,0.0,1.0,house,right_only
CA-10,34.2542,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.22372900000000004,0.566271,0.0,1.0,house,right_only
CA-11,71.46574,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.03767130000000002,0.7523287000000001,0.0,1.0,house,right_only
CA-12,76.76467,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.011176650000000066,0.7788233499999999,0.0,1.0,house,right_only
CA-13,7.451671,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.357741645,0.43225835500000004,0.0,1.0,house,right_only
CA-14,41.99284,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.1850358,0.6049642000000001,0.0,1.0,house,right_only
CA-15,54.17324,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.12413380000000002,0.6658662,0.0,1.0,house,right_only
CA-16,49.6167,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.1469165,0.6430835,0.0,1.0,house,right_only
CA-17,45.6632,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.166684,0.623316,0.0,1.0,house,right_only
CA-18,41.7609,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.1861955,0.6038045000000001,0.0,1.0,house,right_only
CA-19,35.66684,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.21666580000000002,0.5733342,0.0,1.0,house,right_only
CA-20,-30.45263,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.54726315,0.24273685000000003,0.0,1.0,house,right_only
CA-21,16.22807,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.31385965000000005,0.47614035,0.0,1.0,house,right_only
CA-22,10.3146,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.34342700000000004,0.446573,0.0,1.0,house,right_only
CA-23,-15.2223,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.4711115,0.3188885,0.0,1.0,house,right_only
CA-24,23.94737,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.27526315,0.51473685,0.0,1.0,house,right_only
CA-25,12.1035,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.3344825,0.4555175,0.0,1.0,house,right_only
CA-26,15.22424,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.3188788,0.4711212,0.0,1.0,house,right_only
