district,partisan_lean (%),state_name,Republican/lean Rep.,No lean,Democrat/lean Dem.,lean sample size,firearm ownership,firearm ownership margin of error,has_gun_in_house_True,has_gun_in_house_False,is_gun_owner_True,is_gun_owner_False,political_lean_center,political_lean_right,political_lean_left,lean_sum,right_only_flag,body,model,errors_short,gun_owner_fraction_right_only,for_assault_weapon_ban_True_full_sample_mean,for_assault_weapon_ban_True_full_sample_stderr,for_large_magazine_ban_True_full_sample_mean,for_large_magazine_ban_True_full_sample_stderr,for_background_checks_True_full_sample_mean,for_background_checks_True_full_sample_stderr,for_safe_storage_laws_True_full_sample_mean,for_safe_storage_laws_True_full_sample_stderr
AK-1,-14.6111,Alaska,0.39,0.29,0.32,310.0,0.572,0.032,0.572,0.428,0.572,0.428,0.29,0.4280555,0.2819445,0.0,1.0,house,right_only,None,0.651676206050695,0.5642448312113071,0.0749819099829118,0.524705057820348,0.07551629114326082,0.8304520499941596,0.05674204486419073,0.7694194603434179,0.06369338634174074
AL-1,-29.728437142857143,Alabama,0.52,0.13,0.35,511.0,0.528,0.028,0.528,0.472,0.528,0.472,0.13,0.5836421857142857,0.2863578142857143,0.0,1.0,house,right_only,None,0.5975839616175462,0.5472498286497601,0.07527028480374397,0.5315712816997944,0.07545776575053467,0.8136566141192598,0.05888151846309667,0.7840130226182317,0.06222671174731784
AL-2,-29.728437142857143,Alabama,0.52,0.13,0.35,511.0,0.528,0.028,0.528,0.472,0.528,0.472,0.13,0.5836421857142857,0.2863578142857143,0.0,1.0,house,right_only,None,0.5975839616175462,0.5472498286497601,0.07527028480374397,0.5315712816997944,0.07545776575053467,0.8136566141192598,0.05888151846309667,0.7840130226182317,0.06222671174731784
AL-3,-29.728437142857143,Alabama,0.52,0.13,0.35,511.0,0.528,0.028,0.528,0.472,0.528,0.472,0.13,0.5836421857142857,0.2863578142857143,0.0,1.0,house,right_only,None,0.5975839616175462,0.5472498286497601,0.07527028480374397,0.5315712816997944,0.07545776575053467,0.8136566141192598,0.05888151846309667,0.7840130226182317,0.06222671174731784
AL-4,-29.728437142857143,Alabama,0.52,0.13,0.35,511.0,0.528,0.028,0.528,0.472,0.528,0.472,0.13,0.5836421857142857,0.2863578142857143,0.0,1.0,house,right_only,None,0.5975839616175462,0.5472498286497601,0.07527028480374397,0.5315712816997944,0.07545776575053467,0.8136566141192598,0.05888151846309667,0.7840130226182317,0.06222671174731784
AL-5,-29.728437142857143,Alabama,0.52,0.13,0.35,511.0,0.528,0.028,0.528,0.472,0.528,0.472,0.13,0.5836421857142857,0.2863578142857143,0.0,1.0,house,right_only,None,0.5975839616175462,0.5472498286497601,0.07527028480374397,0.5315712816997944,0.07545776575053467,0.8136566141192598,0.05888151846309667,0.7840130226182317,0.06222671174731784
AL-6,-29.728437142857143,Alabama,0.52,0.13,0.35,511.0,0.528,0.028,0.528,0.472,0.528,0.472,0.13,0.5836421857142857,0.2863578142857143,0.0,1.0,house,right_only,None,0.5975839616175462,0.5472498286497601,0.07527028480374397,0.5315712816997944,0.07545776575053467,0.8136566141192598,0.05888151846309667,0.7840130226182317,0.06222671174731784
AL-7,-29.728437142857143,Alabama,0.52,0.13,0.35,511.0,0.528,0.028,0.528,0.472,0.528,0.472,0.13,0.5836421857142857,0.2863578142857143,0.0,1.0,house,right_only,None,0.5975839616175462,0.5472498286497601,0.07527028480374397,0.5315712816997944,0.07545776575053467,0.8136566141192598,0.05888151846309667,0.7840130226182317,0.06222671174731784
AR-1,-31.9002125,Arkansas,0.46,0.16,0.38,311.0,0.518,0.028,0.518,0.482,0.518,0.482,0.16,0.5795010625,0.2604989374999999,0.0,1.0,house,right_only,None,0.586367558239862,0.549137187230371,0.07524264709726924,0.5210957722174288,0.07554131503547391,0.8065142364106989,0.059735424915207114,0.7677308024158758,0.06385600184850738
AR-2,-31.9002125,Arkansas,0.46,0.16,0.38,311.0,0.518,0.028,0.518,0.482,0.518,0.482,0.16,0.5795010625,0.2604989374999999,0.0,1.0,house,right_only,None,0.586367558239862,0.549137187230371,0.07524264709726924,0.5210957722174288,0.07554131503547391,0.8065142364106989,0.059735424915207114,0.7677308024158758,0.06385600184850738
