district,partisan_lean (%),state_name,Republican/lean Rep.,No lean,Democrat/lean Dem.,lean sample size,firearm ownership,firearm ownership margin of error,has_gun_in_house_True,has_gun_in_house_False,is_gun_owner_True,is_gun_owner_False,political_lean_center,political_lean_right,political_lean_left,lean_sum,right_only_flag,body,model
AK-1,-14.6111,Alaska,0.39,0.29,0.32,310.0,0.572,0.032,0.572,0.42800000000000005,0.572,0.42800000000000005,0.0,0.5730554999999999,0.4269445,0.0,0.0,house,without_center
AL-1,-31.6703,Alabama,0.52,0.13,0.35,511.0,0.528,0.028,0.528,0.472,0.528,0.472,0.0,0.6583515,0.3416485,0.0,0.0,house,without_center
AL-2,-33.47084,Alabama,0.52,0.13,0.35,511.0,0.528,0.028,0.528,0.472,0.528,0.472,0.0,0.6673542,0.3326458,0.0,0.0,house,without_center
AL-3,-39.00137,Alabama,0.52,0.13,0.35,511.0,0.528,0.028,0.528,0.472,0.528,0.472,0.0,0.69500685,0.30499315,0.0,0.0,house,without_center
AL-4,-64.80537,Alabama,0.52,0.13,0.35,511.0,0.528,0.028,0.528,0.472,0.528,0.472,0.0,0.82402685,0.17597315000000002,0.0,0.0,house,without_center
AL-5,-32.03314,Alabama,0.52,0.13,0.35,511.0,0.528,0.028,0.528,0.472,0.528,0.472,0.0,0.6601657000000001,0.3398343,0.0,0.0,house,without_center
AL-6,-35.87194,Alabama,0.52,0.13,0.35,511.0,0.528,0.028,0.528,0.472,0.528,0.472,0.0,0.6793597,0.3206403,0.0,0.0,house,without_center
AL-7,28.7539,Alabama,0.52,0.13,0.35,511.0,0.528,0.028,0.528,0.472,0.528,0.472,0.0,0.3562305,0.6437695,0.0,0.0,house,without_center
AR-1,-43.32125,Arkansas,0.46,0.16,0.38,311.0,0.518,0.028,0.518,0.482,0.518,0.482,0.0,0.71660625,0.28339375,0.0,0.0,house,without_center
AR-2,-16.87272,Arkansas,0.46,0.16,0.38,311.0,0.518,0.028,0.518,0.482,0.518,0.482,0.0,0.5843636,0.4156364,0.0,0.0,house,without_center
AR-3,-28.57066,Arkansas,0.46,0.16,0.38,311.0,0.518,0.028,0.518,0.482,0.518,0.482,0.0,0.6428533,0.35714670000000004,0.0,0.0,house,without_center
AR-4,-38.83622,Arkansas,0.46,0.16,0.38,311.0,0.518,0.028,0.518,0.482,0.518,0.482,0.0,0.6941811,0.3058189,0.0,0.0,house,without_center
AZ-1,-6.512875,Arizona,0.4,0.21,0.39,653.0,0.36,0.028,0.36,0.64,0.36,0.64,0.0,0.532564375,0.467435625,0.0,0.0,house,without_center
AZ-2,-15.10014,Arizona,0.4,0.21,0.39,653.0,0.36,0.028,0.36,0.64,0.36,0.64,0.0,0.5755007,0.4244993,0.0,0.0,house,without_center
AZ-3,44.18386,Arizona,0.4,0.21,0.39,653.0,0.36,0.028,0.36,0.64,0.36,0.64,0.0,0.27908069999999996,0.7209193,0.0,0.0,house,without_center
AZ-4,1.464125,Arizona,0.4,0.21,0.39,653.0,0.36,0.028,0.36,0.64,0.36,0.64,0.0,0.492679375,0.507320625,0.0,0.0,house,without_center
AZ-5,-23.90548,Arizona,0.4,0.21,0.39,653.0,0.36,0.028,0.36,0.64,0.36,0.64,0.0,0.6195274,0.3804726,0.0,0.0,house,without_center
AZ-6,-6.932475,Arizona,0.4,0.21,0.39,653.0,0.36,0.028,0.36,0.64,0.36,0.64,0.0,0.534662375,0.465337625,0.0,0.0,house,without_center
AZ-7,27.01756,Arizona,0.4,0.21,0.39,653.0,0.36,0.028,0.36,0.64,0.36,0.64,0.0,0.3649122,0.6350878,0.0,0.0,house,without_center
AZ-8,-21.53168,Arizona,0.4,0.21,0.39,653.0,0.36,0.028,0.36,0.64,0.36,0.64,0.0,0.6076584,0.3923416,0.0,0.0,house,without_center
AZ-9,-33.10751,Arizona,0.4,0.21,0.39,653.0,0.36,0.028,0.36,0.64,0.36,0.64,0.0,0.66553755,0.33446245,0.0,0.0,house,without_center
CA-1,-24.24,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.6212,0.3788,0.0,0.0,house,without_center
CA-2,44.6589,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.2767055,0.7232945,0.0,0.0,house,without_center
CA-3,-7.48173,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.53740865,0.46259135,0.0,0.0,house,without_center
CA-4,31.46477,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.34267614999999996,0.65732385,0.0,0.0,house,without_center
CA-5,-16.82833,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.5841416500000001,0.41585835,0.0,0.0,house,without_center
CA-6,14.1761,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.4291195,0.5708805,0.0,0.0,house,without_center
CA-7,33.91067,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.33044664999999995,0.66955335,0.0,0.0,house,without_center
CA-8,50.61904,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.24690480000000004,0.7530952,0.0,0.0,house,without_center
CA-9,8.710836,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.45644582,0.54355418,0.0,0.0,house,without_center
CA-10,34.2542,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.32872900000000005,0.671271,0.0,0.0,house,without_center
CA-11,71.46574,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.1426713,0.8573287,0.0,0.0,house,without_center
CA-12,76.76467,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.11617665000000005,0.8838233499999999,0.0,0.0,house,without_center
CA-13,7.451671,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.462741645,0.537258355,0.0,0.0,house,without_center
CA-14,41.99284,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.29003579999999995,0.7099642,0.0,0.0,house,without_center
CA-15,54.17324,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.2291338,0.7708662,0.0,0.0,house,without_center
CA-16,49.6167,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.2519165,0.7480835,0.0,0.0,house,without_center
CA-17,45.6632,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.271684,0.728316,0.0,0.0,house,without_center
CA-18,41.7609,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.2911955,0.7088045000000001,0.0,0.0,house,without_center
CA-19,35.66684,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.3216658,0.6783342,0.0,0.0,house,without_center
CA-20,-30.45263,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.65226315,0.34773685,0.0,0.0,house,without_center
CA-21,16.22807,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.41885965000000003,0.58114035,0.0,0.0,house,without_center
CA-22,10.3146,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.448427,0.551573,0.0,0.0,house,without_center
CA-23,-15.2223,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.5761115,0.4238885,0.0,0.0,house,without_center
CA-24,23.94737,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.38026315,0.61973685,0.0,0.0,house,without_center
CA-25,12.1035,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.4394825,0.5605175,0.0,0.0,house,without_center
CA-26,15.22424,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.4238788,0.5761212,0.0,0.0,house,without_center
CA-27,7.75737,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.46121315,0.53878685,0.0,0.0,house,without_center
CA-28,30.3726,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.34813700000000003,0.651863,0.0,0.0,house,without_center
CA-29,50.88554,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.24557230000000002,0.7544276999999999,0.0,0.0,house,without_center
CA-30,44.7397,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.2763015,0.7236985,0.0,0.0,house,without_center
CA-31,29.31257,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.35343715,0.64656285,0.0,0.0,house,without_center
CA-32,38.44873,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.30775635,0.69224365,0.0,0.0,house,without_center
CA-33,23.13004,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.38434979999999996,0.6156502,0.0,0.0,house,without_center
CA-34,63.6506,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.181747,0.818253,0.0,0.0,house,without_center
CA-35,26.4464,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.367768,0.632232,0.0,0.0,house,without_center
CA-36,40.48007,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.29759965,0.70240035,0.0,0.0,house,without_center
CA-37,72.13327,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.13933365000000003,0.86066635,0.0,0.0,house,without_center
CA-38,28.38617,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.35806915,0.64193085,0.0,0.0,house,without_center
CA-39,23.33524,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.3833238,0.6166762,0.0,0.0,house,without_center
CA-40,-3.841196,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.51920598,0.48079402,0.0,0.0,house,without_center
CA-41,-6.348963,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.531744815,0.468255185,0.0,0.0,house,without_center
CA-42,43.72557,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.28137215000000004,0.71862785,0.0,0.0,house,without_center
CA-43,63.03647,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.18481765,0.81518235,0.0,0.0,house,without_center
