district,partisan_lean (%),state_name,Republican/lean Rep.,No lean,Democrat/lean Dem.,lean sample size,firearm ownership,firearm ownership margin of error,has_gun_in_house_True,has_gun_in_house_False,is_gun_owner_True,is_gun_owner_False,political_lean_center,political_lean_right,political_lean_left,lean_sum,right_only_flag,body,model,errors_short,gun_owner_fraction_right_only,for_assault_weapon_ban_True_full_sample_mean,for_assault_weapon_ban_True_full_sample_stderr,for_large_magazine_ban_True_full_sample_mean,for_large_magazine_ban_True_full_sample_stderr,for_background_checks_True_full_sample_mean,for_background_checks_True_full_sample_stderr,for_safe_storage_laws_True_full_sample_mean,for_safe_storage_laws_True_full_sample_stderr
AK-1,-14.6111,Alaska,0.39,0.29,0.32,310.0,0.572,0.032,0.572,0.428,0.572,0.428,0.0,0.5730554999999999,0.4269445,0.0,0.0,house,without_center,None,0.5733286664333217,0.645057252862643,0.04194202103033399,0.6354067703385169,0.04218919978262219,0.8381919095954797,0.032280698069987276,0.8331916595829791,0.032677769641413446
AL-1,-31.6703,Alabama,0.52,0.13,0.35,511.0,0.528,0.028,0.528,0.472,0.528,0.472,0.0,0.6583515,0.3416485,0.0,0.0,house,without_center,None,0.5320766038301915,0.6417570878543928,0.042028627661872334,0.6211310565528276,0.042521364734421696,0.8308165408270414,0.03286265038966241,0.8188659432971649,0.03375806387825972
AL-2,-33.47084,Alabama,0.52,0.13,0.35,511.0,0.528,0.028,0.528,0.472,0.528,0.472,0.0,0.6673542,0.3326458,0.0,0.0,house,without_center,None,0.5259262963148157,0.6305315265763288,0.042307091070419384,0.6068303415170759,0.04281487796711266,0.83929196459823,0.03219188427337724,0.8188159407970399,0.033761692210706254
AL-3,-39.00137,Alabama,0.52,0.13,0.35,511.0,0.528,0.028,0.528,0.472,0.528,0.472,0.0,0.69500685,0.30499315,0.0,0.0,house,without_center,None,0.5309265463273164,0.6393569678483924,0.04209025368855102,0.6225311265563278,0.042490532832907955,0.8274413720686034,0.03312134958635114,0.8174158707935397,0.0338628973640037
AL-4,-64.80537,Alabama,0.52,0.13,0.35,511.0,0.528,0.028,0.528,0.472,0.528,0.472,0.0,0.82402685,0.17597315,0.0,0.0,house,without_center,None,0.56002800140007,0.5988799439971999,0.042961371999578994,0.5794789739486974,0.043269688441599834,0.8315665783289165,0.032804522299402374,0.7982399119955998,0.03517672615569558
AL-5,-32.03314,Alabama,0.52,0.13,0.35,511.0,0.528,0.028,0.528,0.472,0.528,0.472,0.0,0.6601657000000001,0.3398343,0.0,0.0,house,without_center,None,0.5349267463373168,0.6324816240812041,0.0422604925628925,0.6145807290364518,0.042660628666230375,0.8266163308165408,0.03318387924943796,0.8142407120356018,0.034089665884351916
AL-6,-35.87194,Alabama,0.52,0.13,0.35,511.0,0.528,0.028,0.528,0.472,0.528,0.472,0.0,0.6793597,0.3206403,0.0,0.0,house,without_center,None,0.5271763588179409,0.6345817290864544,0.042209477890306546,0.6214560728036402,0.0425142408943548,0.8413170658532927,0.03202698302359809,0.811965598279914,0.03424983945731215
AL-7,28.7539,Alabama,0.52,0.13,0.35,511.0,0.528,0.028,0.528,0.472,0.528,0.472,0.0,0.3562305,0.6437695,0.0,0.0,house,without_center,None,0.48842442122106106,0.7021601080054003,0.04008487910604572,0.6935846792339617,0.04040880924511735,0.8503675183759187,0.0312670810950102,0.8541427071353568,0.03093857895129903
AR-1,-43.32125,Arkansas,0.46,0.16,0.38,311.0,0.518,0.028,0.518,0.482,0.518,0.482,0.0,0.71660625,0.28339375,0.0,0.0,house,without_center,None,0.5269263463173158,0.6317565878293915,0.04227790435503056,0.6090554527726386,0.04277175466637027,0.8301165058252913,0.032916692192924264,0.8104905245262264,0.03435267058799632
AR-2,-16.87272,Arkansas,0.46,0.16,0.38,311.0,0.518,0.028,0.518,0.482,0.518,0.482,0.0,0.5843636,0.4156364,0.0,0.0,house,without_center,None,0.5022751137556878,0.6535326766338316,0.04170958447209058,0.6271313565678284,0.04238656848553849,0.8305415270763539,0.032883905345011795,0.8152907645382269,0.03401509090254419
AR-3,-28.57066,Arkansas,0.46,0.16,0.38,311.0,0.518,0.028,0.518,0.482,0.518,0.482,0.0,0.6428533,0.3571467,0.0,0.0,house,without_center,None,0.5133756687834392,0.6348067403370168,0.04220396075312588,0.6151057552877643,0.042649767995775814,0.8305165258262913,0.032885836056266174,0.8170158507925396,0.033891675994269684
